city_id,province_id,province,type,city_name,postal_code
1,21,Nanggroe Aceh Darussalam (NAD),Kabupaten,Aceh Barat,23681
2,21,Nanggroe Aceh Darussalam (NAD),Kabupaten,Aceh Barat Daya,23764
3,21,Nanggroe Aceh Darussalam (NAD),Kabupaten,Aceh Besar,23951
4,21,Nanggroe Aceh Darussalam (NAD),Kabupaten,Aceh Jaya,23654
5,21,Nanggroe Aceh Darussalam (NAD),Kabupaten,Aceh Selatan,23719
6,21,Nanggroe Aceh Darussalam (NAD),Kabupaten,Aceh Singkil,24785
7,21,Nanggroe Aceh Darussalam (NAD),Kabupaten,Aceh Tamiang,24476
8,21,Nanggroe Aceh Darussalam (NAD),Kabupaten,Aceh Tengah,24511
9,21,Nanggroe Aceh Darussalam (NAD),Kabupaten,Aceh Tenggara,24611
10,21,Nanggroe Aceh Darussalam (NAD),Kabupaten,Aceh Timur,24454
11,21,Nanggroe Aceh Darussalam (NAD),Kabupaten,Aceh Utara,24382
12,32,Sumatera Barat,Kabupaten,Agam,26411
13,23,Nusa Tenggara Timur (NTT),Kabupaten,Alor,85811
14,19,Maluku,Kota,Ambon,97222
15,34,Sumatera Utara,Kabupaten,Asahan,21214
16,24,Papua,Kabupaten,Asmat,99777
17,1,Bali,Kabupaten,Badung,80351
18,13,Kalimantan Selatan,Kabupaten,Balangan,71611
19,15,Kalimantan Timur,Kota,Balikpapan,76111
20,21,Nanggroe Aceh Darussalam (NAD),Kota,Banda Aceh,23238
21,18,Lampung,Kota,Bandar Lampung,35139
22,9,Jawa Barat,Kabupaten,Bandung,40311
23,9,Jawa Barat,Kota,Bandung,40111
24,9,Jawa Barat,Kabupaten,Bandung Barat,40721
25,29,Sulawesi Tengah,Kabupaten,Banggai,94711
26,29,Sulawesi Tengah,Kabupaten,Banggai Kepulauan,94881
27,2,Bangka Belitung,Kabupaten,Bangka,33212
28,2,Bangka Belitung,Kabupaten,Bangka Barat,33315
29,2,Bangka Belitung,Kabupaten,Bangka Selatan,33719
30,2,Bangka Belitung,Kabupaten,Bangka Tengah,33613
31,11,Jawa Timur,Kabupaten,Bangkalan,69118
32,1,Bali,Kabupaten,Bangli,80619
33,13,Kalimantan Selatan,Kabupaten,Banjar,70619
34,9,Jawa Barat,Kota,Banjar,46311
35,13,Kalimantan Selatan,Kota,Banjarbaru,70712
36,13,Kalimantan Selatan,Kota,Banjarmasin,70117
37,10,Jawa Tengah,Kabupaten,Banjarnegara,53419
38,28,Sulawesi Selatan,Kabupaten,Bantaeng,92411
39,5,DI Yogyakarta,Kabupaten,Bantul,55715
40,33,Sumatera Selatan,Kabupaten,Banyuasin,30911
