subdistrict_id,province_id,province,city_id,city,type,subdistrict_name
1,21,Nanggroe Aceh Darussalam (NAD),1,Aceh Barat,Kabupaten,Arongan Lambalek
2,21,Nanggroe Aceh Darussalam (NAD),1,Aceh Barat,Kabupaten,Bubon
3,21,Nanggroe Aceh Darussalam (NAD),1,Aceh Barat,Kabupaten,Johan Pahlawan
4,21,Nanggroe Aceh Darussalam (NAD),1,Aceh Barat,Kabupaten,Kaway XVI
5,21,Nanggroe Aceh Darussalam (NAD),1,Aceh Barat,Kabupaten,Meureubo
6,21,Nanggroe Aceh Darussalam (NAD),1,Aceh Barat,Kabupaten,Pante Ceureumen (Pantai Ceuremen)
7,21,Nanggroe Aceh Darussalam (NAD),1,Aceh Barat,Kabupaten,Panton Reu
8,21,Nanggroe Aceh Darussalam (NAD),1,Aceh Barat,Kabupaten,Samatiga
9,21,Nanggroe Aceh Darussalam (NAD),1,Aceh Barat,Kabupaten,Sungai Mas
10,21,Nanggroe Aceh Darussalam (NAD),1,Aceh Barat,Kabupaten,Woyla
11,21,Nanggroe Aceh Darussalam (NAD),1,Aceh Barat,Kabupaten,Woyla Barat
12,21,Nanggroe Aceh Darussalam (NAD),1,Aceh Barat,Kabupaten,Woyla Timur
13,21,Nanggroe Aceh Darussalam (NAD),2,Aceh Barat Daya,Kabupaten,Babah Rot
14,21,Nanggroe Aceh Darussalam (NAD),2,Aceh Barat Daya,Kabupaten,Blang Pidie
15,21,Nanggroe Aceh Darussalam (NAD),2,Aceh Barat Daya,Kabupaten,Jeumpa
16,21,Nanggroe Aceh Darussalam (NAD),2,Aceh Barat Daya,Kabupaten,Kuala Batee
17,21,Nanggroe Aceh Darussalam (NAD),2,Aceh Barat Daya,Kabupaten,Lembah Sabil
18,21,Nanggroe Aceh Darussalam (NAD),2,Aceh Barat Daya,Kabupaten,Manggeng
19,21,Nanggroe Aceh Darussalam (NAD),2,Aceh Barat Daya,Kabupaten,Setia
20,21,Nanggroe Aceh Darussalam (NAD),2,Aceh Barat Daya,Kabupaten,Susoh
21,21,Nanggroe Aceh Darussalam (NAD),2,Aceh Barat Daya,Kabupaten,Tangan-Tangan
22,21,Nanggroe Aceh Darussalam (NAD),3,Aceh Besar,Kabupaten,Baitussalam
23,21,Nanggroe Aceh Darussalam (NAD),3,Aceh Besar,Kabupaten,Blank Bintang
24,21,Nanggroe Aceh Darussalam (NAD),3,Aceh Besar,Kabupaten,Darul Imarah
25,21,Nanggroe Aceh Darussalam (NAD),3,Aceh Besar,Kabupaten,Darul Kamal
26,21,Nanggroe Aceh Darussalam (NAD),3,Aceh Besar,Kabupaten,Darussalam
27,21,Nanggroe Aceh Darussalam (NAD),3,Aceh Besar,Kabupaten,Indrapuri
28,21,Nanggroe Aceh Darussalam (NAD),3,Aceh Besar,Kabupaten,Ingin Jaya
29,21,Nanggroe Aceh Darussalam (NAD),3,Aceh Besar,Kabupaten,Kota Cot Glie (Kuta Cot Glie)
30,21,Nanggroe Aceh Darussalam (NAD),3,Aceh Besar,Kabupaten,Kota Jantho
31,21,Nanggroe Aceh Darussalam (NAD),3,Aceh Besar,Kabupaten,Kota Malaka (Kuta Malaka)
32,21,Nanggroe Aceh Darussalam (NAD),3,Aceh Besar,Kabupaten,Krueng Barona Jaya
33,21,Nanggroe Aceh Darussalam (NAD),3,Aceh Besar,Kabupaten,Kuta Baro
34,21,Nanggroe Aceh Darussalam (NAD),3,Aceh Besar,Kabupaten,Lembah Seulawah
35,21,Nanggroe Aceh Darussalam (NAD),3,Aceh Besar,Kabupaten,Leupung
36,21,Nanggroe Aceh Darussalam (NAD),3,Aceh Besar,Kabupaten,Lhoknga (Lho'nga)
37,21,Nanggroe Aceh Darussalam (NAD),3,Aceh Besar,Kabupaten,Lhoong
38,21,Nanggroe Aceh Darussalam (NAD),3,Aceh Besar,Kabupaten,Mantasiek (Montasik)
39,21,Nanggroe Aceh Darussalam (NAD),3,Aceh Besar,Kabupaten,Mesjid Raya
40,21,Nanggroe Aceh Darussalam (NAD),3,Aceh Besar,Kabupaten,Peukan Bada
41,21,Nanggroe Aceh Darussalam (NAD),3,Aceh Besar,Kabupaten,Pulo Aceh
42,21,Nanggroe Aceh Darussalam (NAD),3,Aceh Besar,Kabupaten,Seulimeum
